dataset,noise_rate,seed,rem_thresh,rel_thresh,gain
PubMed,0.1,2,0.2,0.2,0.0059999823570251465
PubMed,0.1,2,0.2,0.3,0.004999995231628418
PubMed,0.1,2,0.2,0.4,0.006999969482421875
PubMed,0.1,2,0.2,0.5,0.006999969482421875
PubMed,0.1,2,0.2,0.6,0.0
PubMed,0.1,2,0.2,0.7,-0.003000020980834961
PubMed,0.1,2,0.2,0.8,-0.021000027656555176
PubMed,0.1,2,0.2,0.9,-0.021000027656555176
PubMed,0.1,2,0.2,1.0,-0.021000027656555176
PubMed,0.1,2,0.3,0.0,0.015999972820281982
PubMed,0.1,2,0.3,0.1,0.015999972820281982
PubMed,0.1,2,0.3,0.2,0.014999985694885254
PubMed,0.1,2,0.3,0.3,0.018999993801116943
PubMed,0.1,2,0.3,0.4,0.013000011444091797
PubMed,0.1,2,0.3,0.5,0.013000011444091797
PubMed,0.1,2,0.3,0.6,0.009999990463256836
PubMed,0.1,2,0.3,0.7,0.0009999871253967285
PubMed,0.1,2,0.3,0.8,-0.009999990463256836
PubMed,0.1,2,0.3,0.9,-0.012000024318695068
PubMed,0.1,2,0.3,1.0,-0.012000024318695068
PubMed,0.1,2,0.4,0.0,0.015999972820281982
PubMed,0.1,2,0.4,0.1,0.015999972820281982
PubMed,0.1,2,0.4,0.2,0.014999985694885254
PubMed,0.1,2,0.4,0.3,0.018999993801116943
PubMed,0.1,2,0.4,0.4,0.013000011444091797
PubMed,0.1,2,0.4,0.5,0.013000011444091797
PubMed,0.1,2,0.4,0.6,0.009999990463256836
PubMed,0.1,2,0.4,0.7,0.0009999871253967285
PubMed,0.1,2,0.4,0.8,-0.009999990463256836
PubMed,0.1,2,0.4,0.9,-0.012000024318695068
PubMed,0.1,2,0.4,1.0,-0.012000024318695068
PubMed,0.1,2,0.5,0.0,0.015999972820281982
PubMed,0.1,2,0.5,0.1,0.015999972820281982
PubMed,0.1,2,0.5,0.2,0.014999985694885254
PubMed,0.1,2,0.5,0.3,0.018999993801116943
PubMed,0.1,2,0.5,0.4,0.013000011444091797
