dataset,noise_rate,seed,p_grd,dexp,gain
PubMed,0.1,2,0.3,3,0.0009999871253967285
PubMed,0.1,2,0.3,4,-0.003000020980834961
PubMed,0.1,2,0.3,5,0.015999972820281982
PubMed,0.1,2,0.3,6,-0.0009999871253967285
PubMed,0.1,2,0.3,7,0.019999980926513672
PubMed,0.1,2,0.3,8,0.0
PubMed,0.1,2,0.3,9,0.0
PubMed,0.1,2,0.3,10,0.0
PubMed,0.1,2,0.4,0,-0.03200000524520874
PubMed,0.1,2,0.4,1,-0.04799997806549072
PubMed,0.1,2,0.4,2,-0.013000011444091797
PubMed,0.1,2,0.4,3,0.006999969482421875
PubMed,0.1,2,0.4,4,0.018999993801116943
PubMed,0.1,2,0.4,5,0.001999974250793457
PubMed,0.1,2,0.4,6,0.0
PubMed,0.1,2,0.4,7,0.0
PubMed,0.1,2,0.4,8,0.0
PubMed,0.1,2,0.4,9,0.0
PubMed,0.1,2,0.4,10,0.0
PubMed,0.1,2,0.5,0,-0.003000020980834961
PubMed,0.1,2,0.5,1,-0.026000022888183594
PubMed,0.1,2,0.5,2,-0.010999977588653564
PubMed,0.1,2,0.5,3,0.0209999680519104
PubMed,0.1,2,0.5,4,0.001999974250793457
PubMed,0.1,2,0.5,5,0.0
PubMed,0.1,2,0.5,6,0.0
PubMed,0.1,2,0.5,7,0.0
PubMed,0.1,2,0.5,8,0.0
PubMed,0.1,2,0.5,9,0.0
PubMed,0.1,2,0.5,10,0.0
PubMed,0.1,2,0.6,0,0.015999972820281982
PubMed,0.1,2,0.6,1,-0.008000016212463379
PubMed,0.1,2,0.6,2,0.014999985694885254
PubMed,0.1,2,0.6,3,0.0009999871253967285
PubMed,0.1,2,0.6,4,0.0
PubMed,0.1,2,0.6,5,0.0
PubMed,0.1,2,0.6,6,0.0
PubMed,0.1,2,0.6,7,0.0
PubMed,0.1,2,0.6,8,0.0
PubMed,0.1,2,0.6,9,0.0
PubMed,0.1,2,0.6,10,0.0
PubMed,0.1,2,0.7,0,-0.012000024318695068
PubMed,0.1,2,0.7,1,-0.013999998569488525
PubMed,0.1,2,0.7,2,0.006999969482421875
PubMed,0.1,2,0.7,3,0.0
PubMed,0.1,2,0.7,4,0.0
PubMed,0.1,2,0.7,5,0.0
PubMed,0.1,2,0.7,6,0.0
PubMed,0.1,2,0.7,7,0.0
PubMed,0.1,2,0.7,8,0.0
PubMed,0.1,2,0.7,9,0.0
PubMed,0.1,2,0.7,10,0.0
PubMed,0.1,2,0.8,0,0.010999977588653564
PubMed,0.1,2,0.8,1,0.013999998569488525
PubMed,0.1,2,0.8,2,0.0009999871253967285
PubMed,0.1,2,0.8,3,0.0
PubMed,0.1,2,0.8,4,0.0
PubMed,0.1,2,0.8,5,0.0
PubMed,0.1,2,0.8,6,0.0
PubMed,0.1,2,0.8,7,0.0
PubMed,0.1,2,0.8,8,0.0
PubMed,0.1,2,0.8,9,0.0
PubMed,0.1,2,0.8,10,0.0
PubMed,0.1,2,0.9,0,-0.0009999871253967285
PubMed,0.1,2,0.9,1,0.023000001907348633
PubMed,0.1,2,0.9,2,0.0
PubMed,0.1,2,0.9,3,0.0
PubMed,0.1,2,0.9,4,0.0
PubMed,0.1,2,0.9,5,0.0
PubMed,0.1,2,0.9,6,0.0
PubMed,0.1,2,0.9,7,0.0
PubMed,0.1,2,0.9,8,0.0
PubMed,0.1,2,0.9,9,0.0
PubMed,0.1,2,0.9,10,0.0
PubMed,0.1,3,0.0,0,-0.009000003337860107
PubMed,0.1,3,0.0,1,-0.001999974250793457
