dataset,noise_rate,seed,strategy,k,gain
CiteSeer,0.1,8,d,20,-0.47200001776218414
CiteSeer,0.1,8,d,30,-0.6320000290870667
CiteSeer,0.1,8,d,50,-0.47200001776218414
CiteSeer,0.1,8,d,75,-0.47200001776218414
CiteSeer,0.1,8,d,100,-0.47200001776218414
CiteSeer,0.1,8,p,2,-0.09299999475479126
CiteSeer,0.1,8,p,5,-0.35500001907348633
CiteSeer,0.1,8,p,10,-0.6320000290870667
CiteSeer,0.1,8,p,15,-0.47200001776218414
CiteSeer,0.1,8,p,20,-0.47200001776218414
CiteSeer,0.1,8,p,30,-0.47200001776218414
CiteSeer,0.1,8,p,50,-0.47200001776218414
CiteSeer,0.1,8,p,75,-0.47200001776218414
CiteSeer,0.1,8,p,100,-0.47200001776218414
CiteSeer,0.1,8,u,0,-0.001999974250793457
CiteSeer,0.1,9,s,2,0.058000028133392334
CiteSeer,0.1,9,s,5,0.029000043869018555
CiteSeer,0.1,9,s,10,0.030000030994415283
CiteSeer,0.1,9,s,15,-0.001999974250793457
CiteSeer,0.1,9,s,20,0.06500005722045898
CiteSeer,0.1,9,s,30,0.00700002908706665
CiteSeer,0.1,9,s,50,0.054000020027160645
CiteSeer,0.1,9,s,75,0.0480000376701355
CiteSeer,0.1,9,s,100,0.05200004577636719
CiteSeer,0.1,9,d,2,-0.11499997973442078
CiteSeer,0.1,9,d,5,-0.33899998664855957
CiteSeer,0.1,9,d,10,-0.6110000014305115
CiteSeer,0.1,9,d,15,-0.6110000014305115
CiteSeer,0.1,9,d,20,-0.6110000014305115
CiteSeer,0.1,9,d,30,-0.6110000014305115
CiteSeer,0.1,9,d,50,-0.6110000014305115
CiteSeer,0.1,9,d,75,-0.6110000014305115
CiteSeer,0.1,9,d,100,-0.6110000014305115
CiteSeer,0.1,9,p,2,-0.16499999165534973
CiteSeer,0.1,9,p,5,-0.42499999701976776
CiteSeer,0.1,9,p,10,-0.6110000014305115
