dataset,noise_rate,seed,p_grd,dexp,gain
CiteSeer,0.1,1,0.9,7,0.022000014781951904
CiteSeer,0.1,1,0.9,8,0.022000014781951904
CiteSeer,0.1,1,0.9,9,0.022000014781951904
CiteSeer,0.1,1,0.9,10,0.022000014781951904
CiteSeer,0.1,2,0.0,0,0.03700000047683716
CiteSeer,0.1,2,0.0,1,-0.004999995231628418
CiteSeer,0.1,2,0.0,2,0.029999971389770508
CiteSeer,0.1,2,0.0,3,0.01699995994567871
CiteSeer,0.1,2,0.0,4,0.0209999680519104
CiteSeer,0.1,2,0.0,5,0.038999974727630615
CiteSeer,0.1,2,0.0,6,0.03299999237060547
CiteSeer,0.1,2,0.0,7,0.034999966621398926
CiteSeer,0.1,2,0.0,8,0.03799998760223389
CiteSeer,0.1,2,0.0,9,0.0339999794960022
CiteSeer,0.1,2,0.0,10,-0.001000046730041504
CiteSeer,0.1,2,0.1,0,0.02199995517730713
CiteSeer,0.1,2,0.1,1,0.009999990463256836
CiteSeer,0.1,2,0.1,2,0.0040000081062316895
CiteSeer,0.1,2,0.1,3,0.0059999823570251465
CiteSeer,0.1,2,0.1,4,0.0029999613761901855
CiteSeer,0.1,2,0.1,5,0.015999972820281982
CiteSeer,0.1,2,0.1,6,0.012999951839447021
CiteSeer,0.1,2,0.1,7,0.011999964714050293
CiteSeer,0.1,2,0.1,8,0.011999964714050293
CiteSeer,0.1,2,0.1,9,0.009000003337860107
CiteSeer,0.1,2,0.1,10,0.0040000081062316895
CiteSeer,0.1,2,0.2,0,0.029999971389770508
CiteSeer,0.1,2,0.2,1,0.0029999613761901855
CiteSeer,0.1,2,0.2,2,0.013999998569488525
CiteSeer,0.1,2,0.2,3,-0.013999998569488525
CiteSeer,0.1,2,0.2,4,-0.006000041961669922
CiteSeer,0.1,2,0.2,5,0.0029999613761901855
CiteSeer,0.1,2,0.2,6,-0.001000046730041504
CiteSeer,0.1,2,0.2,7,0.0009999871253967285
CiteSeer,0.1,2,0.2,8,0.007999956607818604
CiteSeer,0.1,2,0.2,9,0.0009999871253967285
CiteSeer,0.1,2,0.2,10,-0.003000020980834961
CiteSeer,0.1,2,0.3,0,0.02499997615814209
CiteSeer,0.1,2,0.3,1,0.01699995994567871
CiteSeer,0.1,2,0.3,2,-0.0020000338554382324
CiteSeer,0.1,2,0.3,3,-0.025000035762786865
CiteSeer,0.1,2,0.3,4,-0.0040000081062316895
CiteSeer,0.1,2,0.3,5,-0.004999995231628418
CiteSeer,0.1,2,0.3,6,-0.01100003719329834
CiteSeer,0.1,2,0.3,7,0.0
CiteSeer,0.1,2,0.3,8,0.0
CiteSeer,0.1,2,0.3,9,0.0
CiteSeer,0.1,2,0.3,10,0.0009999871253967285
CiteSeer,0.1,2,0.4,0,0.010999977588653564
CiteSeer,0.1,2,0.4,1,-0.001000046730041504
CiteSeer,0.1,2,0.4,2,-0.021000027656555176
CiteSeer,0.1,2,0.4,3,-0.013000011444091797
CiteSeer,0.1,2,0.4,4,-0.0020000338554382324
CiteSeer,0.1,2,0.4,5,0.0009999871253967285
CiteSeer,0.1,2,0.4,6,0.0
CiteSeer,0.1,2,0.4,7,0.0
CiteSeer,0.1,2,0.4,8,0.0
CiteSeer,0.1,2,0.4,9,0.0
CiteSeer,0.1,2,0.4,10,0.0
CiteSeer,0.1,2,0.5,0,0.0040000081062316895
CiteSeer,0.1,2,0.5,1,0.0009999871253967285
CiteSeer,0.1,2,0.5,2,-0.01500004529953003
CiteSeer,0.1,2,0.5,3,0.006999969482421875
CiteSeer,0.1,2,0.5,4,0.006999969482421875
CiteSeer,0.1,2,0.5,5,0.0040000081062316895
CiteSeer,0.1,2,0.5,6,-0.00700002908706665
CiteSeer,0.1,2,0.5,7,0.0040000081062316895
CiteSeer,0.1,2,0.5,8,-0.00700002908706665
CiteSeer,0.1,2,0.5,9,-0.00700002908706665
CiteSeer,0.1,2,0.5,10,-0.00700002908706665
CiteSeer,0.1,2,0.6,0,-0.01500004529953003
CiteSeer,0.1,2,0.6,1,-0.0020000338554382324
CiteSeer,0.1,2,0.6,2,0.004999995231628418
CiteSeer,0.1,2,0.6,3,0.006999969482421875
CiteSeer,0.1,2,0.6,4,-0.00700002908706665
CiteSeer,0.1,2,0.6,5,-0.00700002908706665
CiteSeer,0.1,2,0.6,6,-0.00700002908706665
CiteSeer,0.1,2,0.6,7,-0.00700002908706665
CiteSeer,0.1,2,0.6,8,0.0040000081062316895
CiteSeer,0.1,2,0.6,9,-0.00700002908706665
CiteSeer,0.1,2,0.6,10,-0.00700002908706665
CiteSeer,0.1,2,0.7,0,0.007999956607818604
CiteSeer,0.1,2,0.7,1,-0.0040000081062316895
CiteSeer,0.1,2,0.7,2,0.011999964714050293
CiteSeer,0.1,2,0.7,3,-0.00700002908706665
CiteSeer,0.1,2,0.7,4,-0.00700002908706665
CiteSeer,0.1,2,0.7,5,-0.00700002908706665
CiteSeer,0.1,2,0.7,6,-0.00700002908706665
CiteSeer,0.1,2,0.7,7,-0.00700002908706665
CiteSeer,0.1,2,0.7,8,-0.00700002908706665
CiteSeer,0.1,2,0.7,9,-0.00700002908706665
CiteSeer,0.1,2,0.7,10,-0.00700002908706665
CiteSeer,0.1,2,0.8,0,-0.004999995231628418
CiteSeer,0.1,2,0.8,1,0.004999995231628418
CiteSeer,0.1,2,0.8,2,0.006999969482421875
CiteSeer,0.1,2,0.8,3,-0.00700002908706665
CiteSeer,0.1,2,0.8,4,-0.00700002908706665
CiteSeer,0.1,2,0.8,5,-0.00700002908706665
CiteSeer,0.1,2,0.8,6,-0.00700002908706665
CiteSeer,0.1,2,0.8,7,-0.00700002908706665
CiteSeer,0.1,2,0.8,8,-0.00700002908706665
CiteSeer,0.1,2,0.8,9,-0.00700002908706665
CiteSeer,0.1,2,0.8,10,-0.00700002908706665
CiteSeer,0.1,2,0.9,0,0.015999972820281982
CiteSeer,0.1,2,0.9,1,0.006999969482421875
CiteSeer,0.1,2,0.9,2,-0.00700002908706665
CiteSeer,0.1,2,0.9,3,-0.00700002908706665
CiteSeer,0.1,2,0.9,4,-0.00700002908706665
CiteSeer,0.1,2,0.9,5,-0.00700002908706665
CiteSeer,0.1,2,0.9,6,-0.00700002908706665
CiteSeer,0.1,2,0.9,7,-0.00700002908706665
CiteSeer,0.1,2,0.9,8,-0.00700002908706665
CiteSeer,0.1,2,0.9,9,-0.00700002908706665
CiteSeer,0.1,2,0.9,10,-0.00700002908706665
CiteSeer,0.1,3,0.0,0,0.04900002479553223
CiteSeer,0.1,3,0.0,1,0.025000035762786865
CiteSeer,0.1,3,0.0,2,0.021000027656555176
CiteSeer,0.1,3,0.0,3,0.023000001907348633
CiteSeer,0.1,3,0.0,4,0.016000032424926758
CiteSeer,0.1,3,0.0,5,0.022000014781951904
CiteSeer,0.1,3,0.0,6,0.010000050067901611
CiteSeer,0.1,3,0.0,7,0.027000010013580322
