dataset,noise_rate,seed,rem_thresh,rel_thresh,gain
CiteSeer,0.1,2,1.0,0.6,-0.0040000081062316895
CiteSeer,0.1,2,1.0,0.7,-0.0040000081062316895
CiteSeer,0.1,2,1.0,0.8,-0.0040000081062316895
CiteSeer,0.1,2,1.0,0.9,-0.0040000081062316895
CiteSeer,0.1,2,1.0,1.0,-0.00700002908706665
CiteSeer,0.1,3,0.1,0.0,0.003000020980834961
CiteSeer,0.1,3,0.1,0.1,-0.004999995231628418
CiteSeer,0.1,3,0.1,0.2,-0.004999995231628418
CiteSeer,0.1,3,0.1,0.3,-0.007999956607818604
CiteSeer,0.1,3,0.1,0.4,-0.007999956607818604
CiteSeer,0.1,3,0.1,0.5,-0.004999995231628418
CiteSeer,0.1,3,0.1,0.6,-0.004999995231628418
CiteSeer,0.1,3,0.1,0.7,-0.004999995231628418
CiteSeer,0.1,3,0.1,0.8,-0.004999995231628418
CiteSeer,0.1,3,0.1,0.9,-0.004999995231628418
CiteSeer,0.1,3,0.1,1.0,-0.004999995231628418
CiteSeer,0.1,3,0.2,0.0,0.006000041961669922
CiteSeer,0.1,3,0.2,0.1,0.001000046730041504
CiteSeer,0.1,3,0.2,0.2,0.001000046730041504
CiteSeer,0.1,3,0.2,0.3,0.0
CiteSeer,0.1,3,0.2,0.4,-0.0009999871253967285
CiteSeer,0.1,3,0.2,0.5,-0.0029999613761901855
CiteSeer,0.1,3,0.2,0.6,-0.0029999613761901855
CiteSeer,0.1,3,0.2,0.7,-0.0029999613761901855
CiteSeer,0.1,3,0.2,0.8,-0.0029999613761901855
CiteSeer,0.1,3,0.2,0.9,-0.001999974250793457
CiteSeer,0.1,3,0.2,1.0,-0.001999974250793457
CiteSeer,0.1,3,0.3,0.0,0.006000041961669922
CiteSeer,0.1,3,0.3,0.1,0.001000046730041504
CiteSeer,0.1,3,0.3,0.2,0.001000046730041504
CiteSeer,0.1,3,0.3,0.3,0.0
CiteSeer,0.1,3,0.3,0.4,-0.0009999871253967285
CiteSeer,0.1,3,0.3,0.5,-0.0029999613761901855
CiteSeer,0.1,3,0.3,0.6,-0.0029999613761901855
CiteSeer,0.1,3,0.3,0.7,-0.0029999613761901855
CiteSeer,0.1,3,0.3,0.8,-0.0029999613761901855
CiteSeer,0.1,3,0.3,0.9,-0.001999974250793457
CiteSeer,0.1,3,0.3,1.0,-0.001999974250793457
CiteSeer,0.1,3,0.4,0.0,0.006000041961669922
CiteSeer,0.1,3,0.4,0.1,0.001000046730041504
CiteSeer,0.1,3,0.4,0.2,0.001000046730041504
CiteSeer,0.1,3,0.4,0.3,0.0
CiteSeer,0.1,3,0.4,0.4,-0.0009999871253967285
CiteSeer,0.1,3,0.4,0.5,-0.0029999613761901855
CiteSeer,0.1,3,0.4,0.6,-0.0029999613761901855
CiteSeer,0.1,3,0.4,0.7,-0.0029999613761901855
CiteSeer,0.1,3,0.4,0.8,-0.0029999613761901855
CiteSeer,0.1,3,0.4,0.9,-0.001999974250793457
CiteSeer,0.1,3,0.4,1.0,-0.001999974250793457
CiteSeer,0.1,3,0.5,0.0,0.006000041961669922
CiteSeer,0.1,3,0.5,0.1,0.001000046730041504
CiteSeer,0.1,3,0.5,0.2,0.001000046730041504
CiteSeer,0.1,3,0.5,0.3,0.0
CiteSeer,0.1,3,0.5,0.4,0.0
CiteSeer,0.1,3,0.5,0.5,-0.0029999613761901855
CiteSeer,0.1,3,0.5,0.6,-0.0029999613761901855
CiteSeer,0.1,3,0.5,0.7,-0.0029999613761901855
CiteSeer,0.1,3,0.5,0.8,-0.0029999613761901855
CiteSeer,0.1,3,0.5,0.9,-0.001999974250793457
CiteSeer,0.1,3,0.5,1.0,-0.001999974250793457
CiteSeer,0.1,3,0.6,0.0,0.006000041961669922
CiteSeer,0.1,3,0.6,0.1,0.001000046730041504
CiteSeer,0.1,3,0.6,0.2,0.001000046730041504
CiteSeer,0.1,3,0.6,0.3,0.0
CiteSeer,0.1,3,0.6,0.4,-0.0009999871253967285
CiteSeer,0.1,3,0.6,0.5,-0.0029999613761901855
CiteSeer,0.1,3,0.6,0.6,-0.0029999613761901855
CiteSeer,0.1,3,0.6,0.7,-0.0029999613761901855
CiteSeer,0.1,3,0.6,0.8,-0.0029999613761901855
CiteSeer,0.1,3,0.6,0.9,-0.001999974250793457
CiteSeer,0.1,3,0.6,1.0,-0.001999974250793457
CiteSeer,0.1,3,0.7,0.0,0.006000041961669922
CiteSeer,0.1,3,0.7,0.1,0.001000046730041504
